1697873604780|13|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     alter table file         drop         foreign key FKl4cec30ecbepecueqgyan5olo|     alter table file         drop         foreign key FKl4cec30ecbepecueqgyan5olo
1697873604786|1|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     alter table product         drop         foreign key FK1mtsbur82frn64de7balymq9s|     alter table product         drop         foreign key FK1mtsbur82frn64de7balymq9s
1697873604788|1|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     alter table product         drop         foreign key FK979liw4xk18ncpl87u4tygx2u|     alter table product         drop         foreign key FK979liw4xk18ncpl87u4tygx2u
1697873604809|20|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     alter table user_authority         drop         foreign key FK6ktglpl5mjosa283rvken2py5|     alter table user_authority         drop         foreign key FK6ktglpl5mjosa283rvken2py5
1697873604814|4|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     alter table user_authority         drop         foreign key FKpqlsjpkybgos9w2svcri7j8xy|     alter table user_authority         drop         foreign key FKpqlsjpkybgos9w2svcri7j8xy
1697873604819|4|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     drop table if exists authority|     drop table if exists authority
1697873604820|0|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     drop table if exists category|     drop table if exists category
1697873604826|0|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     drop table if exists file|     drop table if exists file
1697873604828|0|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     drop table if exists product|     drop table if exists product
1697873604831|1|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     drop table if exists user|     drop table if exists user
1697873604834|2|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     drop table if exists user_authority|     drop table if exists user_authority
1697873604840|4|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     create table authority (        authority_name varchar(255) not null,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         primary key (authority_name)     ) engine=InnoDB|     create table authority (        authority_name varchar(255) not null,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         primary key (authority_name)     ) engine=InnoDB
1697873604843|2|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     create table category (        category_id bigint not null auto_increment,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         category_name varchar(255),         primary key (category_id)     ) engine=InnoDB|     create table category (        category_id bigint not null auto_increment,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         category_name varchar(255),         primary key (category_id)     ) engine=InnoDB
1697873604846|2|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     create table file (        file_id bigint not null auto_increment,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         file_url varchar(255),         product_id bigint,         primary key (file_id)     ) engine=InnoDB|     create table file (        file_id bigint not null auto_increment,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         file_url varchar(255),         product_id bigint,         primary key (file_id)     ) engine=InnoDB
1697873604850|3|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     create table product (        product_id bigint not null auto_increment,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         buy_count integer not null,         buy_date datetime(6),         buy_price integer not null,         description varchar(255),         latitude double precision not null,         longitude double precision not null,         share_count integer not null,         share_price integer not null,         sold_status integer,         title varchar(255),         category_id bigint,         user_id bigint,         primary key (product_id)     ) engine=InnoDB|     create table product (        product_id bigint not null auto_increment,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         buy_count integer not null,         buy_date datetime(6),         buy_price integer not null,         description varchar(255),         latitude double precision not null,         longitude double precision not null,         share_count integer not null,         share_price integer not null,         sold_status integer,         title varchar(255),         category_id bigint,         user_id bigint,         primary key (product_id)     ) engine=InnoDB
1697873604853|3|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     create table user (        user_id bigint not null auto_increment,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         activated bit not null,         email varchar(255),         email_auth_checked bit not null,         intro varchar(255),         login_id varchar(255),         login_type varchar(255),         nickname varchar(255),         profile varchar(255),         target_token varchar(255),         primary key (user_id)     ) engine=InnoDB|     create table user (        user_id bigint not null auto_increment,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         activated bit not null,         email varchar(255),         email_auth_checked bit not null,         intro varchar(255),         login_id varchar(255),         login_type varchar(255),         nickname varchar(255),         profile varchar(255),         target_token varchar(255),         primary key (user_id)     ) engine=InnoDB
1697873604856|2|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     create table user_authority (        user_id bigint not null,         authority_name varchar(255) not null,         primary key (user_id, authority_name)     ) engine=InnoDB|     create table user_authority (        user_id bigint not null,         authority_name varchar(255) not null,         primary key (user_id, authority_name)     ) engine=InnoDB
1697873604863|6|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     alter table file         add constraint FKl4cec30ecbepecueqgyan5olo         foreign key (product_id)         references product (product_id)|     alter table file         add constraint FKl4cec30ecbepecueqgyan5olo         foreign key (product_id)         references product (product_id)
1697873604871|7|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     alter table product         add constraint FK1mtsbur82frn64de7balymq9s         foreign key (category_id)         references category (category_id)|     alter table product         add constraint FK1mtsbur82frn64de7balymq9s         foreign key (category_id)         references category (category_id)
1697873604879|7|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     alter table product         add constraint FK979liw4xk18ncpl87u4tygx2u         foreign key (user_id)         references user (user_id)|     alter table product         add constraint FK979liw4xk18ncpl87u4tygx2u         foreign key (user_id)         references user (user_id)
1697873604884|5|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     alter table user_authority         add constraint FK6ktglpl5mjosa283rvken2py5         foreign key (authority_name)         references authority (authority_name)|     alter table user_authority         add constraint FK6ktglpl5mjosa283rvken2py5         foreign key (authority_name)         references authority (authority_name)
1697873604890|5|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     alter table user_authority         add constraint FKpqlsjpkybgos9w2svcri7j8xy         foreign key (user_id)         references user (user_id)|     alter table user_authority         add constraint FKpqlsjpkybgos9w2svcri7j8xy         foreign key (user_id)         references user (user_id)
1697873619318|22|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     alter table file         drop         foreign key FKl4cec30ecbepecueqgyan5olo|     alter table file         drop         foreign key FKl4cec30ecbepecueqgyan5olo
1697873619326|6|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     alter table product         drop         foreign key FK1mtsbur82frn64de7balymq9s|     alter table product         drop         foreign key FK1mtsbur82frn64de7balymq9s
1697873619332|5|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     alter table product         drop         foreign key FK979liw4xk18ncpl87u4tygx2u|     alter table product         drop         foreign key FK979liw4xk18ncpl87u4tygx2u
1697873619338|5|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     alter table user_authority         drop         foreign key FK6ktglpl5mjosa283rvken2py5|     alter table user_authority         drop         foreign key FK6ktglpl5mjosa283rvken2py5
1697873619341|3|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     alter table user_authority         drop         foreign key FKpqlsjpkybgos9w2svcri7j8xy|     alter table user_authority         drop         foreign key FKpqlsjpkybgos9w2svcri7j8xy
1697873619343|1|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     drop table if exists authority|     drop table if exists authority
1697873619345|1|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     drop table if exists category|     drop table if exists category
1697873619346|1|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     drop table if exists file|     drop table if exists file
1697873619348|2|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     drop table if exists product|     drop table if exists product
1697873619351|2|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     drop table if exists user|     drop table if exists user
1697873619353|1|statement|connection 2|url jdbc:mysql://localhost:3306/tteolione|     drop table if exists user_authority|     drop table if exists user_authority
1697873619359|3|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     create table authority (        authority_name varchar(255) not null,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         primary key (authority_name)     ) engine=InnoDB|     create table authority (        authority_name varchar(255) not null,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         primary key (authority_name)     ) engine=InnoDB
1697873619362|3|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     create table category (        category_id bigint not null auto_increment,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         category_name varchar(255),         primary key (category_id)     ) engine=InnoDB|     create table category (        category_id bigint not null auto_increment,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         category_name varchar(255),         primary key (category_id)     ) engine=InnoDB
1697873619366|3|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     create table file (        file_id bigint not null auto_increment,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         file_url varchar(255),         product_id bigint,         primary key (file_id)     ) engine=InnoDB|     create table file (        file_id bigint not null auto_increment,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         file_url varchar(255),         product_id bigint,         primary key (file_id)     ) engine=InnoDB
1697873619370|3|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     create table product (        product_id bigint not null auto_increment,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         buy_count integer not null,         buy_date datetime(6),         buy_price integer not null,         description varchar(255),         latitude double precision not null,         longitude double precision not null,         share_count integer not null,         share_price integer not null,         sold_status integer,         title varchar(255),         category_id bigint,         user_id bigint,         primary key (product_id)     ) engine=InnoDB|     create table product (        product_id bigint not null auto_increment,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         buy_count integer not null,         buy_date datetime(6),         buy_price integer not null,         description varchar(255),         latitude double precision not null,         longitude double precision not null,         share_count integer not null,         share_price integer not null,         sold_status integer,         title varchar(255),         category_id bigint,         user_id bigint,         primary key (product_id)     ) engine=InnoDB
1697873619373|3|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     create table user (        user_id bigint not null auto_increment,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         activated bit not null,         email varchar(255),         email_auth_checked bit not null,         intro varchar(255),         login_id varchar(255),         login_type varchar(255),         nickname varchar(255),         profile varchar(255),         target_token varchar(255),         primary key (user_id)     ) engine=InnoDB|     create table user (        user_id bigint not null auto_increment,         create_at datetime(6) not null,         status varchar(255) not null,         update_at datetime(6) not null,         activated bit not null,         email varchar(255),         email_auth_checked bit not null,         intro varchar(255),         login_id varchar(255),         login_type varchar(255),         nickname varchar(255),         profile varchar(255),         target_token varchar(255),         primary key (user_id)     ) engine=InnoDB
1697873619376|2|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     create table user_authority (        user_id bigint not null,         authority_name varchar(255) not null,         primary key (user_id, authority_name)     ) engine=InnoDB|     create table user_authority (        user_id bigint not null,         authority_name varchar(255) not null,         primary key (user_id, authority_name)     ) engine=InnoDB
1697873619383|6|statement|connection 3|url jdbc:mysql://localhost:3306/tteolione|     alter table file         add constraint FKl4cec30ecbepecueqgyan5olo         foreign key (product_id)         references product (product_id)|     alter table file         add constraint FKl4cec30ecbepecueqgyan5olo         foreign key (product_id)         references product (product_id)
